Tue Jun 27 21:52:45 2023    profiling_result.prof

         3524618 function calls (3519948 primitive calls) in 8.095 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     65/1    0.001    0.000    8.096    8.096 {built-in method builtins.exec}
        1    0.000    0.000    8.096    8.096 chesstest7.py:1(<module>)
        1    0.000    0.000    7.762    7.762 chesstest7.py:55(best_move_algorithm)
        1    0.000    0.000    7.762    7.762 chesstest7.py:70(iterative_deepening)
        3    0.000    0.000    7.762    2.587 chesstest7.py:84(MTDF)
   3729/6    0.035    0.000    7.762    1.294 chesstest7.py:102(alpha_beta_with_memory)
     2580    0.016    0.000    6.857    0.003 chesstest7.py:161(evaluation)
    69754    0.074    0.000    6.068    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\stockfish\models.py:156(_read_line)
    69754    5.820    0.000    5.872    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
     2581    0.007    0.000    5.258    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\stockfish\models.py:190(set_fen_position)
     2597    0.006    0.000    5.210    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\stockfish\models.py:171(_is_ready)
     2582    0.010    0.000    5.175    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\stockfish\models.py:141(_prepare_for_new_position)
     2580    0.052    0.000    1.102    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\stockfish\models.py:490(get_evaluation)
     2580    0.007    0.000    0.481    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2182(fen)
     2581    0.043    0.000    0.475    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\stockfish\models.py:285(get_fen_position)
     2580    0.013    0.000    0.473    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2447(epd)
      634    0.023    0.000    0.439    0.001 chesstest7.py:9(move_ordering)
     2580    0.125    0.000    0.378    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:867(board_fen)
     3729    0.004    0.000    0.299    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\polyglot.py:288(zobrist_hash)
    14121    0.016    0.000    0.296    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1582(gives_check)
     3729    0.009    0.000    0.294    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\polyglot.py:283(__call__)
    17864    0.115    0.000    0.279    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1969(push)
     3729    0.122    0.000    0.241    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\polyglot.py:239(hash_board)
     82/4    0.001    0.000    0.236    0.059 <frozen importlib._bootstrap>:1022(_find_and_load)
     82/4    0.000    0.000    0.236    0.059 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     81/5    0.000    0.000    0.235    0.047 <frozen importlib._bootstrap>:664(_load_unlocked)
     61/5    0.000    0.000    0.234    0.047 <frozen importlib._bootstrap_external>:877(exec_module)
    121/5    0.000    0.000    0.232    0.046 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    15517    0.034    0.000    0.223    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\stockfish\models.py:147(_put)
    20/14    0.000    0.000    0.177    0.013 {built-in method builtins.__import__}
   165120    0.086    0.000    0.159    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:617(piece_at)
    85271    0.032    0.000    0.151    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\subprocess.py:1178(poll)
        1    0.000    0.000    0.140    0.140 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1(<module>)
        3    0.005    0.002    0.131    0.044 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:338(_attack_table)
    10816    0.028    0.000    0.126    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:299(_sliding_attacks)
    85271    0.036    0.000    0.120    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\subprocess.py:1481(_internal_poll)
   337834    0.119    0.000    0.119    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:627(piece_type_at)
