Tue Jun 27 21:54:29 2023    profiling_result.prof

         1976220 function calls (1971581 primitive calls) in 3.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     65/1    0.001    0.000    3.383    3.383 {built-in method builtins.exec}
        1    0.000    0.000    3.383    3.383 chesstest6.py:1(<module>)
        1    0.000    0.000    3.059    3.059 chesstest6.py:54(best_move_algorithm)
        1    0.000    0.000    3.059    3.059 chesstest6.py:69(iterative_deepening)
        3    0.000    0.000    3.059    1.020 chesstest6.py:83(MTDF)
   3726/6    0.023    0.000    3.059    0.510 chesstest6.py:101(alpha_beta_with_memory)
     2536    0.028    0.000    2.251    0.001 chesstest6.py:160(evaluation)
     2536    0.016    0.000    2.212    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\engine.py:2394(analyse)
     2537    0.019    0.000    1.830    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\concurrent\futures\_base.py:430(result)
     2537    0.011    0.000    1.803    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\threading.py:288(wait)
     5078    1.781    0.000    1.781    0.000 {method 'acquire' of '_thread.lock' objects}
      629    0.021    0.000    0.424    0.001 chesstest6.py:9(move_ordering)
     2536    0.008    0.000    0.422    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\tasks.py:873(run_coroutine_threadsafe)
     2537    0.005    0.000    0.395    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\base_events.py:796(call_soon_threadsafe)
     2537    0.004    0.000    0.379    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\proactor_events.py:800(_write_to_self)
     2537    0.375    0.000    0.375    0.000 {method 'send' of '_socket.socket' objects}
    14125    0.016    0.000    0.292    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1582(gives_check)
     3726    0.003    0.000    0.268    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\polyglot.py:288(zobrist_hash)
     3726    0.007    0.000    0.265    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\polyglot.py:283(__call__)
    17865    0.104    0.000    0.251    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1969(push)
     82/4    0.001    0.000    0.239    0.060 <frozen importlib._bootstrap>:1022(_find_and_load)
     82/4    0.000    0.000    0.239    0.060 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     81/5    0.000    0.000    0.237    0.047 <frozen importlib._bootstrap>:664(_load_unlocked)
     61/5    0.000    0.000    0.237    0.047 <frozen importlib._bootstrap_external>:877(exec_module)
    121/5    0.000    0.000    0.235    0.047 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     3726    0.108    0.000    0.223    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\polyglot.py:239(hash_board)
    20/14    0.000    0.000    0.179    0.013 {built-in method builtins.__import__}
        1    0.000    0.000    0.142    0.142 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1(<module>)
        3    0.006    0.002    0.133    0.044 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:338(_attack_table)
    10816    0.028    0.000    0.128    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:299(_sliding_attacks)
    53810    0.060    0.000    0.100    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:143(square_distance)
        1    0.000    0.000    0.088    0.088 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\engine.py:1(<module>)
        1    0.000    0.000    0.081    0.081 chesstest6.py:36(__init__)
        1    0.000    0.000    0.081    0.081 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\engine.py:2446(popen_uci)
        1    0.000    0.000    0.081    0.081 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\engine.py:2429(popen)
        1    0.000    0.000    0.081    0.081 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\engine.py:190(run_in_background)
        1    0.000    0.000    0.081    0.081 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\__init__.py:1(<module>)
    14785    0.010    0.000    0.078    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3318(generate_legal_moves)
   166131    0.058    0.000    0.070    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:214(scan_reversed)
   172627    0.064    0.000    0.064    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:627(piece_type_at)
    14774    0.007    0.000    0.063    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1578(is_check)
    14774    0.011    0.000    0.057    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1566(checkers_mask)
        1    0.000    0.000    0.056    0.056 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\base_events.py:1(<module>)
    14801    0.021    0.000    0.053    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1479(generate_pseudo_legal_moves)
    35730    0.036    0.000    0.047    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:793(_remove_piece_at)
    17865    0.018    0.000    0.047    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2090(pop)
    88/42    0.000    0.000    0.034    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       61    0.001    0.000    0.034    0.001 <frozen importlib._bootstrap_external>:950(get_code)
    15531    0.007    0.000    0.033    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:715(attackers_mask)
    17865    0.010    0.000    0.032    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1963(_board_state)
    17865    0.017    0.000    0.032    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:829(_set_piece_at)
     3726    0.009    0.000    0.031    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\polyglot.py:249(hash_castling)
    15531    0.026    0.000    0.026    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:697(_attackers_mask)
    17865    0.024    0.000    0.024    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1328(restore)
       61    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
    17865    0.023    0.000    0.023    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1308(__init__)
    81/79    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.020    0.020 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\windows_events.py:1(<module>)
       61    0.020    0.000    0.020    0.000 {built-in method io.open_code}
    17865    0.012    0.000    0.019    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3384(_from_chess960)
     2537    0.004    0.000    0.018    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\concurrent\futures\_base.py:330(__init__)
       82    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        7    0.000    0.000    0.018    0.003 <frozen importlib._bootstrap_external>:1174(create_module)
        7    0.016    0.002    0.018    0.003 {built-in method _imp.create_dynamic}
       69    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       69    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      176    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    14774    0.009    0.000    0.015    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:656(king)
     2539    0.007    0.000    0.014    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\threading.py:236(__init__)
        1    0.000    0.000    0.014    0.014 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\windows_utils.py:1(<module>)
   117679    0.014    0.000    0.014    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:135(square_rank)
  219/214    0.003    0.000    0.014    0.000 {built-in method builtins.__build_class__}
   163746    0.013    0.000    0.013    0.000 {method 'bit_length' of 'int' objects}
     7452    0.012    0.000    0.013    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3054(has_kingside_castling_rights)
    28250    0.010    0.000    0.013    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:492(__hash__)
    14145    0.010    0.000    0.013    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2944(is_capture)
        1    0.000    0.000    0.013    0.013 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\tempfile.py:1(<module>)
      629    0.003    0.000    0.013    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.012    0.012 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\ssl.py:1(<module>)
   108062    0.012    0.000    0.012    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:131(square_file)
    32029    0.011    0.000    0.011    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:446(__init__)
    14164    0.008    0.000    0.011    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3280(_is_safe)
    57897    0.011    0.000    0.011    0.000 {built-in method builtins.max}
   119016    0.010    0.000    0.010    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:1737(cast)
    17865    0.010    0.000    0.010    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2949(is_zeroing)
     2537    0.004    0.000    0.010    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\base_events.py:772(_call_soon)
        1    0.000    0.000    0.010    0.010 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\socket.py:1(<module>)
    14125    0.004    0.000    0.010    0.000 chesstest6.py:31(<lambda>)
        1    0.000    0.000    0.010    0.010 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\shutil.py:1(<module>)
     2536    0.005    0.000    0.009    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\contextlib.py:139(__exit__)
        1    0.000    0.000    0.009    0.009 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\concurrent\futures\__init__.py:1(<module>)
      327    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      327    0.008    0.000    0.008    0.000 {built-in method nt.stat}
      627    0.004    0.000    0.008    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3354(generate_castling_moves)
     2536    0.002    0.000    0.008    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\contextlib.py:279(helper)
        1    0.000    0.000    0.008    0.008 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\concurrent\futures\_base.py:1(<module>)
     7452    0.007    0.000    0.008    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3075(has_queenside_castling_rights)
     5072    0.003    0.000    0.008    0.000 {built-in method builtins.next}
    19193    0.006    0.000    0.008    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:211(msb)
   107740    0.008    0.000    0.008    0.000 {built-in method builtins.abs}
