Board No.,Time Processed,Nodes Visited,Best Move
1,4.776413700077683,10724,d6d1
2,0.4273300999775529,940,f8h7
3,4.946738900034688,10747,f7f8q
4,6.706871000002138,14869,h4g3
5,10.265146599966101,18873,b4b5
6,12.397206099936739,23420,g7f8n
7,9.062081899959594,16552,e7e6
8,7.427542900084518,14917,e7e8q
9,0.6108508999459445,1399,h4h5
10,2.8124057000968605,6058,f7f8q
11,2.6669713999144733,5816,b2b8
12,3.779744300059974,8166,f6g6
13,1.6833507999544963,3171,h8h7
14,6.270655500004068,12554,c6b7
15,1.909688499988988,3741,a6f1
16,7.674308400019072,16824,f3f4
17,6.028020599973388,11488,f7f8q
18,3.8684090001042932,8387,e4g2
19,6.191077399998903,12729,f3c3
20,0.5516392999561504,1269,h6f6
21,1.4129033000208437,2999,b5b1
22,3.8246289999224246,7750,a7b8q
23,7.171917999978177,13809,b4d3
24,1.1907896999036893,2503,e7f5
25,1.4169266000390053,2738,c7b7
26,1.6626255000010133,3674,d5e6
27,4.358049400034361,8446,f2f8
28,5.038434099988081,10052,e3c2
29,12.324468499980867,25210,f6f7
30,1.7500138999894261,3355,f8e8
31,7.944633899955079,16396,b5c3
32,2.728063700022176,5525,e6e7
33,5.93119380006101,11783,d6a6
34,0.40242239995859563,869,d7d8q
35,1.579070399980992,2954,b7b8q
36,3.197119200020097,6399,e2f3
37,1.5327296999748796,3203,f7e7
38,3.532703899894841,6733,d4d8
39,3.2062829000642523,6736,f5e4
40,2.2808385000098497,4492,h7h8
41,3.9587074000155553,8226,g7d4
42,6.251784999971278,11940,g5e7
43,1.9676592000760138,3298,h8c3
44,1.533005499979481,3227,e7f5
45,0.2875639999983832,635,g2g4
46,3.846704800031148,7385,h6b6
47,1.0161856999620795,2380,h7g5
48,6.535088800010271,13934,e4f5
49,12.312460800050758,27752,e7e8q
50,1.318227200070396,2310,g7h8
